task_identity,task_family,split,completion_by_step_50:lexical_greedy,completion_by_step_50:lexical_anti_cycle,completion_by_step_50:observable_subgoal_greedy,completion_by_step_50:observable_subgoal_anti_cycle,episode_two_cycle_incidence_by_step_50:lexical_greedy,episode_two_cycle_incidence_by_step_50:lexical_anti_cycle,episode_two_cycle_incidence_by_step_50:observable_subgoal_greedy,episode_two_cycle_incidence_by_step_50:observable_subgoal_anti_cycle
3b9c04cb4f9911ea0d2213daf4bb874c2680436094be5b569625f6b9e7aba539,pick_and_place_simple,valid_seen,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
32578ea95a1ae422a7f35b1176e497ffa6336a8fca5af179d1a0f413a0e3c58d,pick_and_place_simple,valid_seen,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
405e6e0b85584fe5f216e2f12427f726b58a81c0c0cb399c47340c1bdc08c47f,pick_and_place_simple,valid_seen,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
617e20ebbdb68fc994eab96140c5ebb6ca2600d40318da18b34e342a24746a7e,pick_and_place_simple,valid_seen,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
931bb69d595f801dc3679de47e4790e476c2751ccf01378e7440012305b825df,pick_and_place_simple,valid_seen,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0faefebbbbcb3d51b3adff79835e47a46bfc52f70285e639b01b8ff14a89c6fa,pick_clean_then_place_in_recep,valid_seen,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
01eaf2aa558ad79f4875df12b0e1f6850a111f4e5cb7f6ecd97cd48f6bbf07d6,pick_clean_then_place_in_recep,valid_seen,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2cff565a8b32125bb5ef1f9032a9f2919a615299ebd55277a1ca37f441811d79,pick_clean_then_place_in_recep,valid_seen,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
8b8f75c1a656caffb852dbee1e0eadebf3eef947f394928125b8cb23f9b8d4c8,pick_clean_then_place_in_recep,valid_seen,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2c86ebc9205ec0d2c8cc8a06099d1c0e9e0e21e13bc330361c7a01f433dcc970,pick_clean_then_place_in_recep,valid_seen,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
346112755c4b8a29fdc149d9ace656a4a520bfb7dc1d31c600bde5a80da5dca5,pick_two_obj_and_place,valid_seen,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
18c0713158588e50e893f22c28ddcdd1c3fabd4791d58eeb61ea0747b11e20a2,pick_two_obj_and_place,valid_seen,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
407aa4a1ddec39401899cd967cd998b78d1b68fa12822e4eaae2fca65dd4271f,pick_two_obj_and_place,valid_seen,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
78d2ee391b6190cc8de422f6eb960e41d7c34f7996d46fc9224f536149b59e66,pick_two_obj_and_place,valid_seen,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
