item_idx,tfidf
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,1
137,0
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,0
154,1
155,0
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,0
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,0
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,1
255,0
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,0
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,1
310,0
311,1
312,1
313,0
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,1
388,0
389,1
390,1
391,1
392,1
393,1
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,1
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,0
420,0
421,0
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,1
438,0
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,0
453,1
454,0
455,0
456,0
457,1
458,1
459,0
460,0
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,0
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,1
521,1
522,0
523,1
524,0
525,0
526,1
527,0
528,1
529,1
530,1
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,0
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,1
563,1
564,0
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,1
578,0
579,1
580,1
581,0
582,1
583,1
584,1
585,1
586,0
587,0
588,1
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,0
597,1
598,0
599,0
600,0
601,1
602,1
603,1
604,1
605,0
606,0
607,1
608,1
609,0
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,1
625,0
626,1
627,1
628,0
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,0
647,0
648,1
649,1
650,1
651,0
652,1
653,0
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,0
684,1
685,0
686,1
687,0
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,1
706,1
707,0
708,0
709,0
710,0
711,0
712,1
713,1
714,1
715,0
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,0
739,0
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,0
753,1
754,0
755,1
756,0
757,1
758,1
759,1
760,1
761,0
762,1
763,1
764,1
765,1
766,0
767,0
768,1
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,0
777,1
778,1
779,0
780,0
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,0
806,1
807,0
808,1
809,0
810,1
811,1
812,1
813,1
814,0
815,1
816,1
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,0
834,1
835,0
836,1
837,1
838,0
839,1
840,0
841,1
842,1
843,1
844,0
845,1
846,1
847,1
848,1
849,1
850,1
851,0
852,0
853,0
854,1
855,0
856,0
857,0
858,1
859,1
860,0
861,1
862,1
863,1
864,0
865,0
866,1
867,1
868,0
869,1
870,1
871,1
872,1
873,0
874,1
875,1
876,0
877,1
878,1
879,1
880,1
881,0
882,0
883,1
884,1
885,1
886,0
887,1
888,1
889,0
890,1
891,1
892,0
893,0
894,1
895,0
896,1
897,0
898,0
899,0
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,0
910,1
911,1
912,1
913,1
914,1
915,0
916,1
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,0
925,0
926,1
927,0
928,1
929,0
930,1
931,1
932,1
933,1
934,1
935,1
936,0
937,0
938,1
939,1
940,1
941,0
942,0
943,0
944,1
945,0
946,0
947,1
948,1
949,0
950,1
951,1
952,0
953,1
954,0
955,1
956,1
957,1
958,1
959,1
960,0
961,1
962,1
963,1
964,0
965,1
966,1
967,1
968,0
969,1
970,1
971,1
972,1
973,1
974,1
975,0
976,1
977,0
978,1
979,1
980,1
981,0
982,0
983,1
984,0
985,1
986,1
987,0
988,1
989,1
990,0
991,1
992,0
993,0
994,0
995,1
996,0
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,0
1004,1
1005,1
1006,1
1007,1
1008,0
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,1
1058,1
1059,1
