method,library_size,n_queries,rule_set_fingerprint,selection_fingerprint,avg_selected_rules,avg_selected_tokens,budget_violations,selection_ms_mean,selection_ms_p50,selection_ms_p95,base_selection_precision_proxy,base_query_hit_rate_proxy,distractor_query_rate,unique_base_rule_coverage
tfidf,8,200,367938b8aba900de870ddd252e3d769762c4e04eca5f7935859f4c42f560be82,11bac9bcb230194601954b28e4527857707cff1e54c92d6f255808640cdce73a,4.4,1761.775,0,4.177439999693888,3.6554499965859577,6.8940499942982525,1.0,1.0,0.0,1.0
bm25,8,200,367938b8aba900de870ddd252e3d769762c4e04eca5f7935859f4c42f560be82,1e4c766de1d53f2fee850ac5cc3f5cb9fac5c9d27eeaaa2f84e185fd8e208292,4.44,1942.6,0,0.24640000010549556,0.2162000018870458,0.5062300006102299,1.0,1.0,0.0,1.0
greedy-cold,8,200,367938b8aba900de870ddd252e3d769762c4e04eca5f7935859f4c42f560be82,19f8210ccf18f212644ef4c27429302c2076a40a89d687c9a9302e13e7888cc5,5,1206.605,0,1.8264955002086936,1.5962999968905933,3.3189999958267427,1.0,1.0,0.0,0.875
greedy-utility,8,200,367938b8aba900de870ddd252e3d769762c4e04eca5f7935859f4c42f560be82,a9cc4c2d977302283530d0c20f5ea251d9d5222e3a45a1e563b75c69bbb517f6,5,1204.015,0,2.367255000426667,2.0005499973194674,4.204410006059334,1.0,1.0,0.0,0.875
moar,8,200,367938b8aba900de870ddd252e3d769762c4e04eca5f7935859f4c42f560be82,7b44f8d97abce3a4312a68f02b3906c3749d8ae712d76ee7a7baa9be94505493,4.925,1396.955,0,315.9749119998014,298.15339999913704,417.0897399984824,1.0,1.0,0.0,1.0
tfidf,16,200,57e2b52585d9153afa0c7279c748667298016fe14711a46f4b34d778a4c74cb9,52f32ec64f8bb28b46e82a47aff139beefabe30f008ef0e6121c81f671571117,4.025,1369.825,0,5.6062124994787155,5.15524999354966,8.19455000455491,0.2732919254658385,0.54,0.93,1.0
bm25,16,200,57e2b52585d9153afa0c7279c748667298016fe14711a46f4b34d778a4c74cb9,949d11cf9920571231b207e89ee40b064493042a5ba28cefd4a1e8c39797b22a,4.765,1929.495,0,0.32495349922101013,0.28914999711560085,0.6081200008338782,0.6631689401888772,1.0,0.765,1.0
greedy-cold,16,200,57e2b52585d9153afa0c7279c748667298016fe14711a46f4b34d778a4c74cb9,ca697c80cbd38f8652a980a5554b6480833aaa5ed3d13d855a7fb37286ab440e,5,717.05,0,2.8746780005894834,2.3520999966422096,5.435289997694778,0.295,1.0,1.0,0.875
greedy-utility,16,200,57e2b52585d9153afa0c7279c748667298016fe14711a46f4b34d778a4c74cb9,65a5c6fbf5be3ae799f840a969eca640ba584a504b44520f19db823789480d09,5,1197.2,0,3.214880999948946,2.687200001673773,5.521084995416459,1.0,1.0,0.0,0.875
moar,16,200,57e2b52585d9153afa0c7279c748667298016fe14711a46f4b34d778a4c74cb9,8c6d41f7b26211b49acc7a573fab5d604889b9b8eb831b281935f99fa811b67e,4.96,1403.53,0,358.38201050064526,301.01099999592407,607.6714299946616,0.9274193548387096,1.0,0.255,1.0
tfidf,32,200,c2a3b3f637eedb42bfd5feb3e9723e97afad77e45ab8a82db19bdffdc459b730,0d04e5fddd1f65dcffba9194c2ae0471a152109d9bee124cee05a8784a744f80,4.71,1174.155,0,4.14436399936676,3.595849993871525,7.287139991240109,0.2059447983014862,0.535,0.985,1.0
